stamp_sec,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1732437229.899658442,-0.021019961684942245,0.08262087404727936,-0.04030315577983856,-0.42835602164268494,-0.023751959204673767,0.8884726762771606
1732437229.904031992,-0.01569363847374916,0.008052356541156769,-0.029650509357452393,-0.43494781851768494,-0.04352734982967377,0.8828574419021606
1732437229.909913540,0.010937971994280815,-0.07077721506357193,-0.004084162414073944,-0.42884430289268494,-0.03669141232967377,0.8840781450271606
1732437229.913775682,0.02265588380396366,-0.07929933071136475,0.004437953233718872,-0.43275055289268494,-0.011789069510996342,0.8994590044021606
1732437229.919802189,0.00561165064573288,-0.019644519314169884,-0.008345220237970352,-0.42029938101768494,0.004568352364003658,0.8894492387771606
1732437229.923961163,-0.022085227072238922,0.030422911047935486,-0.02325892075896263,-0.42152008414268494,-0.012033210135996342,0.9119101762771606
1732437229.929733753,-0.027411548420786858,0.02190079540014267,-0.031781040132045746,-0.38514313101768494,-0.05915234982967377,0.9111777544021606
1732437229.933760405,-0.002910465933382511,-0.016448725014925003,-0.0200631283223629,-0.41053375601768494,-0.07770703732967377,0.9199668169021606
1732437229.939937830,0.032243259251117706,-0.018579255789518356,0.0012421607971191406,-0.44422516226768494,-0.04425977170467377,0.9033652544021606
1732437229.943593979,0.012003237381577492,-0.0068613458424806595,-0.01260627806186676,-0.40638336539268494,-0.004220710135996342,0.8413535356521606
1732437229.949848413,-0.01569363847374916,-0.01218766812235117,-0.03071577474474907,-0.43348297476768494,-0.03205274045467377,0.9014121294021606
1732437229.953750134,-0.002910465933382511,-0.019644519314169884,-0.021128393709659576,-0.39197906851768494,-0.05549024045467377,0.9248496294021606
1732437229.959883690,0.02265588380396366,-0.021775048226118088,-0.008345220237970352,-0.40516266226768494,-0.04572461545467377,0.9351035356521606
1732437229.963956594,0.017329560592770576,-0.0026002880185842514,-0.014736805111169815,-0.40809234976768494,-0.015207038260996342,0.8889609575271606
1732437229.969887495,-0.010367317125201225,0.0250965878367424,-0.03071577474474907,-0.43226227164268494,-0.011544928885996342,0.8811484575271606
1732437229.973624706,-0.01569363847374916,0.008052356541156769,-0.022193659096956253,-0.43592438101768494,-0.03302930295467377,0.9111777544021606
1732437229.979946852,-0.003975730389356613,-0.044145602732896805,-0.004084162414073944,-0.40443024039268494,-0.04377149045467377,0.9182578325271606
1732437229.984052420,0.01306850090622902,-0.05905930697917938,0.0012421607971191406,-0.39735016226768494,-0.03669141232967377,0.9236289262771606
1732437229.989886522,0.0162642952054739,0.0005955062806606293,-0.006214689463376999,-0.41004547476768494,-0.014962897635996342,0.9023886919021606
1732437229.993699789,0.0002853274345397949,0.05598926171660423,-0.018997862935066223,-0.42786774039268494,-0.012765632010996342,0.8933554887771606
1732437229.999851227,-0.017824169248342514,0.037879761308431625,-0.018997862935066223,-0.42469391226768494,-0.03962109982967377,0.8933554887771606
1732437230.004080296,-0.013563110493123531,-0.018579255789518356,-0.009410485625267029,-0.41834625601768494,-0.06818555295467377,0.9075156450271606
